,country_id,country,last_update
0,1,Afghanistan,2006-02-15 04:44:00
1,2,Algeria,2006-02-15 04:44:00
2,3,American Samoa,2006-02-15 04:44:00
3,4,Angola,2006-02-15 04:44:00
4,5,Anguilla,2006-02-15 04:44:00
5,6,Argentina,2006-02-15 04:44:00
6,7,Armenia,2006-02-15 04:44:00
7,8,Australia,2006-02-15 04:44:00
8,9,Austria,2006-02-15 04:44:00
9,10,Azerbaijan,2006-02-15 04:44:00
10,11,Bahrain,2006-02-15 04:44:00
11,12,Bangladesh,2006-02-15 04:44:00
12,13,Belarus,2006-02-15 04:44:00
13,14,Bolivia,2006-02-15 04:44:00
14,15,Brazil,2006-02-15 04:44:00
15,16,Brunei,2006-02-15 04:44:00
16,17,Bulgaria,2006-02-15 04:44:00
17,18,Cambodia,2006-02-15 04:44:00
18,19,Cameroon,2006-02-15 04:44:00
19,20,Canada,2006-02-15 04:44:00
20,21,Chad,2006-02-15 04:44:00
21,22,Chile,2006-02-15 04:44:00
22,23,China,2006-02-15 04:44:00
23,24,Colombia,2006-02-15 04:44:00
24,25,"Congo, The Democratic Republic of the",2006-02-15 04:44:00
25,26,Czech Republic,2006-02-15 04:44:00
26,27,Dominican Republic,2006-02-15 04:44:00
27,28,Ecuador,2006-02-15 04:44:00
28,29,Egypt,2006-02-15 04:44:00
29,30,Estonia,2006-02-15 04:44:00
30,31,Ethiopia,2006-02-15 04:44:00
31,32,Faroe Islands,2006-02-15 04:44:00
32,33,Finland,2006-02-15 04:44:00
33,34,France,2006-02-15 04:44:00
34,35,French Guiana,2006-02-15 04:44:00
35,36,French Polynesia,2006-02-15 04:44:00
36,37,Gambia,2006-02-15 04:44:00
37,38,Germany,2006-02-15 04:44:00
38,39,Greece,2006-02-15 04:44:00
39,40,Greenland,2006-02-15 04:44:00
40,41,Holy See (Vatican City State),2006-02-15 04:44:00
41,42,Hong Kong,2006-02-15 04:44:00
42,43,Hungary,2006-02-15 04:44:00
43,44,India,2006-02-15 04:44:00
44,45,Indonesia,2006-02-15 04:44:00
45,46,Iran,2006-02-15 04:44:00
46,47,Iraq,2006-02-15 04:44:00
47,48,Israel,2006-02-15 04:44:00
48,49,Italy,2006-02-15 04:44:00
49,50,Japan,2006-02-15 04:44:00
50,51,Kazakstan,2006-02-15 04:44:00
51,52,Kenya,2006-02-15 04:44:00
52,53,Kuwait,2006-02-15 04:44:00
53,54,Latvia,2006-02-15 04:44:00
54,55,Liechtenstein,2006-02-15 04:44:00
55,56,Lithuania,2006-02-15 04:44:00
56,57,Madagascar,2006-02-15 04:44:00
57,58,Malawi,2006-02-15 04:44:00
58,59,Malaysia,2006-02-15 04:44:00
59,60,Mexico,2006-02-15 04:44:00
60,61,Moldova,2006-02-15 04:44:00
61,62,Morocco,2006-02-15 04:44:00
62,63,Mozambique,2006-02-15 04:44:00
63,64,Myanmar,2006-02-15 04:44:00
64,65,Nauru,2006-02-15 04:44:00
65,66,Nepal,2006-02-15 04:44:00
66,67,Netherlands,2006-02-15 04:44:00
67,68,New Zealand,2006-02-15 04:44:00
68,69,Nigeria,2006-02-15 04:44:00
69,70,North Korea,2006-02-15 04:44:00
70,71,Oman,2006-02-15 04:44:00
71,72,Pakistan,2006-02-15 04:44:00
72,73,Paraguay,2006-02-15 04:44:00
73,74,Peru,2006-02-15 04:44:00
74,75,Philippines,2006-02-15 04:44:00
75,76,Poland,2006-02-15 04:44:00
76,77,Puerto Rico,2006-02-15 04:44:00
77,78,Romania,2006-02-15 04:44:00
78,79,Runion,2006-02-15 04:44:00
79,80,Russian Federation,2006-02-15 04:44:00
80,81,Saint Vincent and the Grenadines,2006-02-15 04:44:00
81,82,Saudi Arabia,2006-02-15 04:44:00
82,83,Senegal,2006-02-15 04:44:00
83,84,Slovakia,2006-02-15 04:44:00
84,85,South Africa,2006-02-15 04:44:00
85,86,South Korea,2006-02-15 04:44:00
86,87,Spain,2006-02-15 04:44:00
87,88,Sri Lanka,2006-02-15 04:44:00
88,89,Sudan,2006-02-15 04:44:00
89,90,Sweden,2006-02-15 04:44:00
90,91,Switzerland,2006-02-15 04:44:00
91,92,Taiwan,2006-02-15 04:44:00
92,93,Tanzania,2006-02-15 04:44:00
93,94,Thailand,2006-02-15 04:44:00
94,95,Tonga,2006-02-15 04:44:00
95,96,Tunisia,2006-02-15 04:44:00
96,97,Turkey,2006-02-15 04:44:00
97,98,Turkmenistan,2006-02-15 04:44:00
98,99,Tuvalu,2006-02-15 04:44:00
99,100,Ukraine,2006-02-15 04:44:00
100,101,United Arab Emirates,2006-02-15 04:44:00
101,102,United Kingdom,2006-02-15 04:44:00
102,103,United States,2006-02-15 04:44:00
103,104,Venezuela,2006-02-15 04:44:00
104,105,Vietnam,2006-02-15 04:44:00
105,106,"Virgin Islands, U.S.",2006-02-15 04:44:00
106,107,Yemen,2006-02-15 04:44:00
107,108,Yugoslavia,2006-02-15 04:44:00
108,109,Zambia,2006-02-15 04:44:00
